industry,industry_uuid,category,subcategory_1,subcategory_2,uuid,name,description,price,cost,taxable,unit_of_measure,task_code,online_booking_enabled
Home Cleaning,ind_dd88b46f5da742d7b8e679dc57dd329f,"3,401-3,700 Sq Ft","","",olit_8c43319af3934ce7a860feeaec302513,Monthly House Cleaning,"Get a fresh start every month. Our team of professionals will clean your home with care, making sure everything looks excellent.
",$330.74,$181.90,false,"","",false
Home Cleaning,ind_dd88b46f5da742d7b8e679dc57dd329f,"3,401-3,700 Sq Ft","","",olit_57ae9c653b4f4c77b997134ac8a08d96,Moving Cleaning,"Leave the cleaning to us when moving in or out. Our highly trained team will handle the deep cleaning, making the space spotless for the next residents.

Garage cleaning can be added at an additional charge.",$696.59,$383.12,false,"","",false
Home Cleaning,ind_dd88b46f5da742d7b8e679dc57dd329f,"3,401-3,700 Sq Ft","","",olit_cce81879ae564728b3c5f42846be354c,Vacation Rental Cleaning,"Comprehensive cleaning service tailored for vacation rentals. Includes thorough cleaning of all rooms, sanitization of high-touch surfaces, meticulous attention to detail in kitchens and bathrooms, bed linen change, laundry service for towels and bedding (as needed), and preparation for guest arrivals. We ensure your property is spotless, welcoming, and ready for your next guests, maintaining the highest standards of cleanliness to enhance guest satisfaction.",$0.00,$0.00,false,"","",false
Home Cleaning,ind_dd88b46f5da742d7b8e679dc57dd329f,"3,701-4,000 Sq Ft","","",olit_0e6b449129d040c39b8c7d8790a15a30,One-Time House Cleaning,"Perfect for a deep clean or special occasion. Our team works efficiently to give your home a detailed cleaning, leaving it spotless.",$571.89,$314.53,false,"","",false
Home Cleaning,ind_dd88b46f5da742d7b8e679dc57dd329f,"3,701-4,000 Sq Ft","","",olit_8ded175fcee847af90c752bccc279262,Initial House Cleaning,"The initial cleaning is a one-time, thorough cleaning to bring your home up to our high standards of cleanliness and sanitation. This comprehensive service lays the foundation for ongoing weekly, biweekly, or monthly maintenance, ensuring every surface shines and no detail is overlooked. The price for the initial cleaning is the same regardless of the frequency of your recurring service.",$426.32,$277.10,false,"","",false
Home Cleaning,ind_dd88b46f5da742d7b8e679dc57dd329f,"3,701-4,000 Sq Ft","","",olit_9adf3200633d4f5896a1fc468cfc76f9,Weekly House Cleaning,"Enjoy a consistently clean home without lifting a finger. Our trained team provides efficient, thorough cleaning every week so you can take back your time.",$225.73,$124.15,false,"","",false
Home Cleaning,ind_dd88b46f5da742d7b8e679dc57dd329f,"3,701-4,000 Sq Ft","","",olit_47a07a5cf93c47e9ae9f950c284bfe33,Biweekly House Cleaning,"Keep your home fresh and tidy with biweekly visits from our expert team. We ensure thorough cleaning while maintaining your space with care.
",$300.15,$165.08,false,"","",false
Home Cleaning,ind_dd88b46f5da742d7b8e679dc57dd329f,"3,701-4,000 Sq Ft","","",olit_4ab1eac6074f422aa87438951c242a21,Monthly House Cleaning,"Get a fresh start every month. Our team of professionals will clean your home with care, making sure everything looks excellent.
",$343.80,$189.09,false,"","",false
Home Cleaning,ind_dd88b46f5da742d7b8e679dc57dd329f,"3,701-4,000 Sq Ft","","",olit_ce1fb9ac1bb9441ab9251c1c3868d069,Moving Cleaning,"Leave the cleaning to us when moving in or out. Our highly trained team will handle the deep cleaning, making the space spotless for the next residents.

Garage cleaning can be added at an additional charge.",$714.87,$393.17,false,"","",false
Home Cleaning,ind_dd88b46f5da742d7b8e679dc57dd329f,"3,701-4,000 Sq Ft","","",olit_622d0be3236c4d14b6602e9ad5fb57d6,Vacation Rental Cleaning,"Comprehensive cleaning service tailored for vacation rentals. Includes thorough cleaning of all rooms, sanitization of high-touch surfaces, meticulous attention to detail in kitchens and bathrooms, bed linen change, laundry service for towels and bedding (as needed), and preparation for guest arrivals. We ensure your property is spotless, welcoming, and ready for your next guests, maintaining the highest standards of cleanliness to enhance guest satisfaction.",$0.00,$0.00,false,"","",false
Home Cleaning,ind_dd88b46f5da742d7b8e679dc57dd329f,"4,001-4,300 Sq Ft","","",olit_51e31331e0714bf38de03a893d5a3360,One-Time House Cleaning,"Perfect for a deep clean or special occasion. Our team works efficiently to give your home a detailed cleaning, leaving it spotless.",$586.52,$322.58,false,"","",false
Home Cleaning,ind_dd88b46f5da742d7b8e679dc57dd329f,"4,001-4,300 Sq Ft","","",olit_84aa75f53cdc41b085dcc406c1897fac,Initial House Cleaning,"The initial cleaning is a one-time, thorough cleaning to bring your home up to our high standards of cleanliness and sanitation. This comprehensive service lays the foundation for ongoing weekly, biweekly, or monthly maintenance, ensuring every surface shines and no detail is overlooked. The price for the initial cleaning is the same regardless of the frequency of your recurring service.",$439.69,$285.79,false,"","",false
Home Cleaning,ind_dd88b46f5da742d7b8e679dc57dd329f,"4,001-4,300 Sq Ft","","",olit_566d9a4d53bf46f5b317ae7cac6217c1,Weekly House Cleaning,"Enjoy a consistently clean home without lifting a finger. Our trained team provides efficient, thorough cleaning every week so you can take back your time.",$235.20,$129.36,false,"","",false
Home Cleaning,ind_dd88b46f5da742d7b8e679dc57dd329f,"4,001-4,300 Sq Ft","","",olit_da6677a311254ad385bb6de155ac257c,Biweekly House Cleaning,"Keep your home fresh and tidy with biweekly visits from our expert team. We ensure thorough cleaning while maintaining your space with care.
",$312.89,$172.08,false,"","",false
Home Cleaning,ind_dd88b46f5da742d7b8e679dc57dd329f,"4,001-4,300 Sq Ft","","",olit_a601ec3e30324bbaa5fad2dfa88a1cf7,Monthly House Cleaning,"Get a fresh start every month. Our team of professionals will clean your home with care, making sure everything looks excellent.
",$356.85,$196.26,false,"","",false
Home Cleaning,ind_dd88b46f5da742d7b8e679dc57dd329f,"4,001-4,300 Sq Ft","","",olit_1e35e5d4ef254c34a3b8cf35dfbe0d60,Moving Cleaning,"Leave the cleaning to us when moving in or out. Our highly trained team will handle the deep cleaning, making the space spotless for the next residents.

Garage cleaning can be added at an additional charge.",$733.15,$403.23,false,"","",false
Home Cleaning,ind_dd88b46f5da742d7b8e679dc57dd329f,"4,001-4,300 Sq Ft","","",olit_2b4c7ed32f36490aa69534e4bdd385c2,Vacation Rental Cleaning,"Comprehensive cleaning service tailored for vacation rentals. Includes thorough cleaning of all rooms, sanitization of high-touch surfaces, meticulous attention to detail in kitchens and bathrooms, bed linen change, laundry service for towels and bedding (as needed), and preparation for guest arrivals. We ensure your property is spotless, welcoming, and ready for your next guests, maintaining the highest standards of cleanliness to enhance guest satisfaction.",$0.00,$0.00,false,"","",false
Home Cleaning,ind_dd88b46f5da742d7b8e679dc57dd329f,"4,301-4,600 Sq Ft","","",olit_7c24282697144e50a0eb1ec28d356c7a,One-Time House Cleaning,"Perfect for a deep clean or special occasion. Our team works efficiently to give your home a detailed cleaning, leaving it spotless.",$601.14,$330.62,false,"","",false
Home Cleaning,ind_dd88b46f5da742d7b8e679dc57dd329f,"4,301-4,600 Sq Ft","","",olit_af83493247fa4e9eb99ef54ed5386ec0,Initial House Cleaning,"The initial cleaning is a one-time, thorough cleaning to bring your home up to our high standards of cleanliness and sanitation. This comprehensive service lays the foundation for ongoing weekly, biweekly, or monthly maintenance, ensuring every surface shines and no detail is overlooked. The price for the initial cleaning is the same regardless of the frequency of your recurring service.",$453.06,$294.48,false,"","",false
Home Cleaning,ind_dd88b46f5da742d7b8e679dc57dd329f,"4,301-4,600 Sq Ft","","",olit_61eaa95e4c3046a58c929daab1772c5f,Weekly House Cleaning,"Enjoy a consistently clean home without lifting a finger. Our trained team provides efficient, thorough cleaning every week so you can take back your time.",$244.68,$134.57,false,"","",false
Home Cleaning,ind_dd88b46f5da742d7b8e679dc57dd329f,"4,301-4,600 Sq Ft","","",olit_9385b6fd56024cb98da8479c0fba048a,Biweekly House Cleaning,"Keep your home fresh and tidy with biweekly visits from our expert team. We ensure thorough cleaning while maintaining your space with care.
",$325.64,$179.10,false,"","",false
Home Cleaning,ind_dd88b46f5da742d7b8e679dc57dd329f,"4,301-4,600 Sq Ft","","",olit_f45a9976672b420fb087bd08e0bc0dc8,Monthly House Cleaning,"Get a fresh start every month. Our team of professionals will clean your home with care, making sure everything looks excellent.
",$369.91,$203.45,false,"","",false
Home Cleaning,ind_dd88b46f5da742d7b8e679dc57dd329f,"4,301-4,600 Sq Ft","","",olit_d0381a602d194570be7a6e87256ab1bd,Copy of Moving Cleaning,"Leave the cleaning to us when moving in or out. Our highly trained team will handle the deep cleaning, making the space spotless for the next residents.

Garage cleaning can be added at an additional charge.",$751.42,$413.28,false,"","",false
Home Cleaning,ind_dd88b46f5da742d7b8e679dc57dd329f,"4,301-4,600 Sq Ft","","",olit_77ace0827b764dc4b32486a88cffe90e,Vacation Rental Cleaning,"Comprehensive cleaning service tailored for vacation rentals. Includes thorough cleaning of all rooms, sanitization of high-touch surfaces, meticulous attention to detail in kitchens and bathrooms, bed linen change, laundry service for towels and bedding (as needed), and preparation for guest arrivals. We ensure your property is spotless, welcoming, and ready for your next guests, maintaining the highest standards of cleanliness to enhance guest satisfaction.",$0.00,$0.00,false,"","",false
Home Cleaning,ind_dd88b46f5da742d7b8e679dc57dd329f,"4,601-4,900 Sq Ft","","",olit_a064d0a3e00946ca91c5750aa5e93cc7,One-Time House Cleaning,"Perfect for a deep clean or special occasion. Our team works efficiently to give your home a detailed cleaning, leaving it spotless.",$615.76,$338.66,false,"","",false
Home Cleaning,ind_dd88b46f5da742d7b8e679dc57dd329f,"4,601-4,900 Sq Ft","","",olit_4146e31790554ccd9cf890ae91a26530,Initial House Cleaning,"The initial cleaning is a one-time, thorough cleaning to bring your home up to our high standards of cleanliness and sanitation. This comprehensive service lays the foundation for ongoing weekly, biweekly, or monthly maintenance, ensuring every surface shines and no detail is overlooked. The price for the initial cleaning is the same regardless of the frequency of your recurring service.",$466.43,$303.17,false,"","",false
Home Cleaning,ind_dd88b46f5da742d7b8e679dc57dd329f,"4,601-4,900 Sq Ft","","",olit_9209e9e47c3e4c958535a6080bb69796,Weekly House Cleaning,"Enjoy a consistently clean home without lifting a finger. Our trained team provides efficient, thorough cleaning every week so you can take back your time.",$254.16,$139.78,false,"","",false
Home Cleaning,ind_dd88b46f5da742d7b8e679dc57dd329f,"4,601-4,900 Sq Ft","","",olit_794033373dc641729c813491582239b1,Biweekly House Cleaning,"Keep your home fresh and tidy with biweekly visits from our expert team. We ensure thorough cleaning while maintaining your space with care.
",$338.38,$186.10,false,"","",false
Home Cleaning,ind_dd88b46f5da742d7b8e679dc57dd329f,"4,601-4,900 Sq Ft","","",olit_7c8044b7f6674c87bc55515fefb1be4e,Monthly House Cleaning,"Get a fresh start every month. Our team of professionals will clean your home with care, making sure everything looks excellent.
",$382.97,$210.63,false,"","",false
Home Cleaning,ind_dd88b46f5da742d7b8e679dc57dd329f,"4,601-4,900 Sq Ft","","",olit_b4ad71b518c049beac49a04872a3984e,Moving Cleaning,"Leave the cleaning to us when moving in or out. Our highly trained team will handle the deep cleaning, making the space spotless for the next residents.

Garage cleaning can be added at an additional charge.",$769.70,$423.33,false,"","",false
Home Cleaning,ind_dd88b46f5da742d7b8e679dc57dd329f,"4,601-4,900 Sq Ft","","",olit_a2ae20e81a4143779b854f315227c4c5,Vacation Rental Cleaning,"Comprehensive cleaning service tailored for vacation rentals. Includes thorough cleaning of all rooms, sanitization of high-touch surfaces, meticulous attention to detail in kitchens and bathrooms, bed linen change, laundry service for towels and bedding (as needed), and preparation for guest arrivals. We ensure your property is spotless, welcoming, and ready for your next guests, maintaining the highest standards of cleanliness to enhance guest satisfaction.",$0.00,$0.00,false,"","",false
Home Cleaning,ind_dd88b46f5da742d7b8e679dc57dd329f,"4,901-5,200 Sq Ft","","",olit_6975070094d444ad821769e73234682e,One-Time House Cleaning,"Perfect for a deep clean or special occasion. Our team works efficiently to give your home a detailed cleaning, leaving it spotless.",$630.38,$346.70,false,"","",false
Home Cleaning,ind_dd88b46f5da742d7b8e679dc57dd329f,"4,901-5,200 Sq Ft","","",olit_a217e0f4abfb4069bb0a27a831f8088b,Initial House Cleaning,"The initial cleaning is a one-time, thorough cleaning to bring your home up to our high standards of cleanliness and sanitation. This comprehensive service lays the foundation for ongoing weekly, biweekly, or monthly maintenance, ensuring every surface shines and no detail is overlooked. The price for the initial cleaning is the same regardless of the frequency of your recurring service.",$479.80,$311.87,false,"","",false
Home Cleaning,ind_dd88b46f5da742d7b8e679dc57dd329f,"4,901-5,200 Sq Ft","","",olit_f029d184a60f4db5be3d2b2c9a01936c,Weekly House Cleaning,"Enjoy a consistently clean home without lifting a finger. Our trained team provides efficient, thorough cleaning every week so you can take back your time.",$263.64,$145.00,false,"","",false
Home Cleaning,ind_dd88b46f5da742d7b8e679dc57dd329f,"4,901-5,200 Sq Ft","","",olit_fd9072f630e24a35a5de4070ce536a31,Biweekly House Cleaning,"Keep your home fresh and tidy with biweekly visits from our expert team. We ensure thorough cleaning while maintaining your space with care.
",$351.12,$193.11,false,"","",false
Home Cleaning,ind_dd88b46f5da742d7b8e679dc57dd329f,"4,901-5,200 Sq Ft","","",olit_169ca2e5d7144404ad54bf0c19f32773,Monthly House Cleaning,"Get a fresh start every month. Our team of professionals will clean your home with care, making sure everything looks excellent.
",$396.02,$217.81,false,"","",false
Home Cleaning,ind_dd88b46f5da742d7b8e679dc57dd329f,"4,901-5,200 Sq Ft","","",olit_c01e277c08de4620b7574b0454da9572,Moving Cleaning,"Leave the cleaning to us when moving in or out. Our highly trained team will handle the deep cleaning, making the space spotless for the next residents.

Garage cleaning can be added at an additional charge.",$787.98,$433.38,false,"","",false
Home Cleaning,ind_dd88b46f5da742d7b8e679dc57dd329f,"4,901-5,200 Sq Ft","","",olit_b9c8c340205045c6a004dea9f3791a2c,Vacation Rental Cleaning,"Comprehensive cleaning service tailored for vacation rentals. Includes thorough cleaning of all rooms, sanitization of high-touch surfaces, meticulous attention to detail in kitchens and bathrooms, bed linen change, laundry service for towels and bedding (as needed), and preparation for guest arrivals. We ensure your property is spotless, welcoming, and ready for your next guests, maintaining the highest standards of cleanliness to enhance guest satisfaction.",$0.00,$0.00,false,"","",false
Home Cleaning,ind_dd88b46f5da742d7b8e679dc57dd329f,"5,201-5,500 Sq Ft","","",olit_6b6b7cd943cd4a27ba9daa9e478270bb,One-Time House Cleaning,"Perfect for a deep clean or special occasion. Our team works efficiently to give your home a detailed cleaning, leaving it spotless.",$645.01,$354.75,false,"","",false
Home Cleaning,ind_dd88b46f5da742d7b8e679dc57dd329f,"5,201-5,500 Sq Ft","","",olit_03f3d2b23f474494b7d50066509afa97,Initial House Cleaning,"The initial cleaning is a one-time, thorough cleaning to bring your home up to our high standards of cleanliness and sanitation. This comprehensive service lays the foundation for ongoing weekly, biweekly, or monthly maintenance, ensuring every surface shines and no detail is overlooked. The price for the initial cleaning is the same regardless of the frequency of your recurring service.",$493.17,$320.56,false,"","",false
Home Cleaning,ind_dd88b46f5da742d7b8e679dc57dd329f,"5,201-5,500 Sq Ft","","",olit_e6a0e1d637634c5ab109793ee8dc1dff,Weekly House Cleaning,"Enjoy a consistently clean home without lifting a finger. Our trained team provides efficient, thorough cleaning every week so you can take back your time.",$273.21,$150.26,false,"","",false
Home Cleaning,ind_dd88b46f5da742d7b8e679dc57dd329f,"5,201-5,500 Sq Ft","","",olit_45313f46c5ac405ca1fa9120e4ca77ed,Biweekly House Cleaning,"Keep your home fresh and tidy with biweekly visits from our expert team. We ensure thorough cleaning while maintaining your space with care.
",$363.86,$200.12,false,"","",false
Home Cleaning,ind_dd88b46f5da742d7b8e679dc57dd329f,"5,201-5,500 Sq Ft","","",olit_7fc5f85ad68449c2a6b8a7318da68c5a,Monthly House Cleaning,"Get a fresh start every month. Our team of professionals will clean your home with care, making sure everything looks excellent.
",$409.08,$224.99,false,"","",false
Home Cleaning,ind_dd88b46f5da742d7b8e679dc57dd329f,"5,201-5,500 Sq Ft","","",olit_8fdd9b9f85854fb9af72445c3bf49f24,Moving Cleaning,"Leave the cleaning to us when moving in or out. Our highly trained team will handle the deep cleaning, making the space spotless for the next residents.

Garage cleaning can be added at an additional charge.",$806.26,$443.44,false,"","",false
Home Cleaning,ind_dd88b46f5da742d7b8e679dc57dd329f,"5,201-5,500 Sq Ft","","",olit_65cbca1a30154427afad17615508fd72,Vacation Rental Cleaning,"Comprehensive cleaning service tailored for vacation rentals. Includes thorough cleaning of all rooms, sanitization of high-touch surfaces, meticulous attention to detail in kitchens and bathrooms, bed linen change, laundry service for towels and bedding (as needed), and preparation for guest arrivals. We ensure your property is spotless, welcoming, and ready for your next guests, maintaining the highest standards of cleanliness to enhance guest satisfaction.",$0.00,$0.00,false,"","",false
Home Cleaning,ind_dd88b46f5da742d7b8e679dc57dd329f,"5,801-6,100 Sq Ft","","",olit_3878542f7de44f67b10e1efdf7ebe4e0,One-Time House Cleaning,"Perfect for a deep clean or special occasion. Our team works efficiently to give your home a detailed cleaning, leaving it spotless.",$674.25,$370.83,false,"","",false
Home Cleaning,ind_dd88b46f5da742d7b8e679dc57dd329f,"5,501-5,800 Sq Ft","","",olit_81c52c355b8e4859b68bd57242f327b9,One-Time House Cleaning,"Perfect for a deep clean or special occasion. Our team works efficiently to give your home a detailed cleaning, leaving it spotless.",$659.63,$362.79,false,"","",false
Home Cleaning,ind_dd88b46f5da742d7b8e679dc57dd329f,"5,501-5,800 Sq Ft","","",olit_732eecf6a5d04dbbad60859e8233ad60,Initial House Cleaning,"The initial cleaning is a one-time, thorough cleaning to bring your home up to our high standards of cleanliness and sanitation. This comprehensive service lays the foundation for ongoing weekly, biweekly, or monthly maintenance, ensuring every surface shines and no detail is overlooked. The price for the initial cleaning is the same regardless of the frequency of your recurring service.",$506.54,$329.25,false,"","",false
Home Cleaning,ind_dd88b46f5da742d7b8e679dc57dd329f,"5,501-5,800 Sq Ft","","",olit_c2ad609ef04540e5966842d35db8a801,Weekly House Cleaning,"Enjoy a consistently clean home without lifting a finger. Our trained team provides efficient, thorough cleaning every week so you can take back your time.",$282.60,$155.43,false,"","",false
Home Cleaning,ind_dd88b46f5da742d7b8e679dc57dd329f,"5,501-5,800 Sq Ft","","",olit_f33b817e4c3c47e4bc01f18c98011dea,Biweekly House Cleaning,"Keep your home fresh and tidy with biweekly visits from our expert team. We ensure thorough cleaning while maintaining your space with care.
",$376.61,$207.13,false,"","",false
Home Cleaning,ind_dd88b46f5da742d7b8e679dc57dd329f,"5,501-5,800 Sq Ft","","",olit_48e17456afa042cbacc8804eac671cf3,Monthly House Cleaning,"Get a fresh start every month. Our team of professionals will clean your home with care, making sure everything looks excellent.
",$422.13,$232.17,false,"","",false
Home Cleaning,ind_dd88b46f5da742d7b8e679dc57dd329f,"5,501-5,800 Sq Ft","","",olit_892f808da7964013a1a722cee5b10698,Moving Cleaning,"Leave the cleaning to us when moving in or out. Our highly trained team will handle the deep cleaning, making the space spotless for the next residents.

Garage cleaning can be added at an additional charge.",$824.54,$453.49,false,"","",false
Home Cleaning,ind_dd88b46f5da742d7b8e679dc57dd329f,"5,501-5,800 Sq Ft","","",olit_44a2a5421e40478caa9b05be94fbbc3c,Vacation Rental Cleaning,"Comprehensive cleaning service tailored for vacation rentals. Includes thorough cleaning of all rooms, sanitization of high-touch surfaces, meticulous attention to detail in kitchens and bathrooms, bed linen change, laundry service for towels and bedding (as needed), and preparation for guest arrivals. We ensure your property is spotless, welcoming, and ready for your next guests, maintaining the highest standards of cleanliness to enhance guest satisfaction.",$0.00,$0.00,false,"","",false
Home Cleaning,ind_dd88b46f5da742d7b8e679dc57dd329f,"5,801-6,100 Sq Ft","","",olit_4902504cdf3c481bab43eddcec9c996e,Initial House Cleaning,"The initial cleaning is a one-time, thorough cleaning to bring your home up to our high standards of cleanliness and sanitation. This comprehensive service lays the foundation for ongoing weekly, biweekly, or monthly maintenance, ensuring every surface shines and no detail is overlooked. The price for the initial cleaning is the same regardless of the frequency of your recurring service.",$519.90,$337.93,false,"","",false
Home Cleaning,ind_dd88b46f5da742d7b8e679dc57dd329f,"5,801-6,100 Sq Ft","","",olit_8cbfc078a98b4557afe41d08772c119e,Weekly House Cleaning,"Enjoy a consistently clean home without lifting a finger. Our trained team provides efficient, thorough cleaning every week so you can take back your time.",$292.07,$160.63,false,"","",false
Home Cleaning,ind_dd88b46f5da742d7b8e679dc57dd329f,"5,801-6,100 Sq Ft","","",olit_a63ce920eab54fccaf20a4c5d5806485,Biweekly House Cleaning,"Keep your home fresh and tidy with biweekly visits from our expert team. We ensure thorough cleaning while maintaining your space with care.
",$389.35,$214.14,false,"","",false
Home Cleaning,ind_dd88b46f5da742d7b8e679dc57dd329f,"5,801-6,100 Sq Ft","","",olit_3105bd4a9e9f4844bcea21101d59a2fa,Moving Cleaning,"Leave the cleaning to us when moving in or out. Our highly trained team will handle the deep cleaning, making the space spotless for the next residents.

Garage cleaning can be added at an additional charge.",$842.81,$463.54,false,"","",false
Home Cleaning,ind_dd88b46f5da742d7b8e679dc57dd329f,"5,801-6,100 Sq Ft","","",olit_154aadac15db4cb3800b1be173071a39,Vacation Rental Cleaning,"Comprehensive cleaning service tailored for vacation rentals. Includes thorough cleaning of all rooms, sanitization of high-touch surfaces, meticulous attention to detail in kitchens and bathrooms, bed linen change, laundry service for towels and bedding (as needed), and preparation for guest arrivals. We ensure your property is spotless, welcoming, and ready for your next guests, maintaining the highest standards of cleanliness to enhance guest satisfaction.",$0.00,$0.00,false,"","",false
Home Cleaning,ind_dd88b46f5da742d7b8e679dc57dd329f,"6,101-6,400 Sq Ft","","",olit_0f64bb7a770b4613bff8749f7ee67827,One-Time House Cleaning,"Perfect for a deep clean or special occasion. Our team works efficiently to give your home a detailed cleaning, leaving it spotless.",$688.87,$378.87,false,"","",false
Home Cleaning,ind_dd88b46f5da742d7b8e679dc57dd329f,"6,101-6,400 Sq Ft","","",olit_894b4cf580df49fca01e11a0145a7856,Initial House Cleaning,"The initial cleaning is a one-time, thorough cleaning to bring your home up to our high standards of cleanliness and sanitation. This comprehensive service lays the foundation for ongoing weekly, biweekly, or monthly maintenance, ensuring every surface shines and no detail is overlooked. The price for the initial cleaning is the same regardless of the frequency of your recurring service.",$533.27,$346.60,false,"","",false
Home Cleaning,ind_dd88b46f5da742d7b8e679dc57dd329f,"6,101-6,400 Sq Ft","","",olit_3cc87db43e344becb1d0511f4f1e9d8b,Weekly House Cleaning,"Enjoy a consistently clean home without lifting a finger. Our trained team provides efficient, thorough cleaning every week so you can take back your time.",$301.55,$165.85,false,"","",false
Home Cleaning,ind_dd88b46f5da742d7b8e679dc57dd329f,"6,101-6,400 Sq Ft","","",olit_85756c1b548a4e9dbd460361b0facc69,Biweekly House Cleaning,"Keep your home fresh and tidy with biweekly visits from our expert team. We ensure thorough cleaning while maintaining your space with care.
",$402.09,$221.14,false,"","",false
Home Cleaning,ind_dd88b46f5da742d7b8e679dc57dd329f,"6,101-6,400 Sq Ft","","",olit_ef01189a97924802a1207f0f3118b37f,Monthly House Cleaning,"Get a fresh start every month. Our team of professionals will clean your home with care, making sure everything looks excellent.
",$448.24,$246.53,false,"","",false
Home Cleaning,ind_dd88b46f5da742d7b8e679dc57dd329f,"6,101-6,400 Sq Ft","","",olit_8a7f2e1bc27c472eaedb06397a834381,Moving Cleaning,"Leave the cleaning to us when moving in or out. Our highly trained team will handle the deep cleaning, making the space spotless for the next residents.

Garage cleaning can be added at an additional charge.",$861.09,$473.59,false,"","",false
Home Cleaning,ind_dd88b46f5da742d7b8e679dc57dd329f,"6,101-6,400 Sq Ft","","",olit_8f25d1209c5d432089ba1535940dcea5,Vacation Rental Cleaning,"Comprehensive cleaning service tailored for vacation rentals. Includes thorough cleaning of all rooms, sanitization of high-touch surfaces, meticulous attention to detail in kitchens and bathrooms, bed linen change, laundry service for towels and bedding (as needed), and preparation for guest arrivals. We ensure your property is spotless, welcoming, and ready for your next guests, maintaining the highest standards of cleanliness to enhance guest satisfaction.",$0.00,$0.00,false,"","",false
Home Cleaning,ind_dd88b46f5da742d7b8e679dc57dd329f,"6,401-6,700 Sq Ft","","",olit_18ec1121ef864442848001582b91474d,One-Time House Cleaning,"Perfect for a deep clean or special occasion. Our team works efficiently to give your home a detailed cleaning, leaving it spotless.",$703.50,$386.92,false,"","",false
Home Cleaning,ind_dd88b46f5da742d7b8e679dc57dd329f,"6,401-6,700 Sq Ft","","",olit_8ca430e69e234fbaaa01c1533cd34ab1,Initial House Cleaning,"The initial cleaning is a one-time, thorough cleaning to bring your home up to our high standards of cleanliness and sanitation. This comprehensive service lays the foundation for ongoing weekly, biweekly, or monthly maintenance, ensuring every surface shines and no detail is overlooked. The price for the initial cleaning is the same regardless of the frequency of your recurring service.",$546.64,$355.31,false,"","",false
Home Cleaning,ind_dd88b46f5da742d7b8e679dc57dd329f,"6,401-6,700 Sq Ft","","",olit_c93ee0781264467c977fc28e8da5fff1,Weekly House Cleaning,"Enjoy a consistently clean home without lifting a finger. Our trained team provides efficient, thorough cleaning every week so you can take back your time.",$311.03,$171.06,false,"","",false
Home Cleaning,ind_dd88b46f5da742d7b8e679dc57dd329f,"6,401-6,700 Sq Ft","","",olit_ac18e3bade7f4a379d936375fa109773,Biweekly House Cleaning,"Keep your home fresh and tidy with biweekly visits from our expert team. We ensure thorough cleaning while maintaining your space with care.
",$414.83,$228.15,false,"","",false
Home Cleaning,ind_dd88b46f5da742d7b8e679dc57dd329f,"6,401-6,700 Sq Ft","","",olit_49c8a79d780f4d6da17e04ef4579a067,Monthly House Cleaning,"Get a fresh start every month. Our team of professionals will clean your home with care, making sure everything looks excellent.
",$461.30,$253.71,false,"","",false
Home Cleaning,ind_dd88b46f5da742d7b8e679dc57dd329f,"6,401-6,700 Sq Ft","","",olit_2af4fa9be43b4a37b4adc212b8d8b35d,Moving Cleaning,"Leave the cleaning to us when moving in or out. Our highly trained team will handle the deep cleaning, making the space spotless for the next residents.

Garage cleaning can be added at an additional charge.",$879.37,$483.65,false,"","",false
Home Cleaning,ind_dd88b46f5da742d7b8e679dc57dd329f,"6,401-6,700 Sq Ft","","",olit_ac77ee5045ff481f90628ce66a19e412,Vacation Rental Cleaning,"Comprehensive cleaning service tailored for vacation rentals. Includes thorough cleaning of all rooms, sanitization of high-touch surfaces, meticulous attention to detail in kitchens and bathrooms, bed linen change, laundry service for towels and bedding (as needed), and preparation for guest arrivals. We ensure your property is spotless, welcoming, and ready for your next guests, maintaining the highest standards of cleanliness to enhance guest satisfaction.",$0.00,$0.00,false,"","",false
Home Cleaning,ind_dd88b46f5da742d7b8e679dc57dd329f,"6,701-7,000 Sq Ft","","",olit_127ed435184b491d8b9e599d455956bf,One-Time House Cleaning,"Perfect for a deep clean or special occasion. Our team works efficiently to give your home a detailed cleaning, leaving it spotless.",$718.12,$394.96,false,"","",false
Home Cleaning,ind_dd88b46f5da742d7b8e679dc57dd329f,"6,701-7,000 Sq Ft","","",olit_7221e6c6487d4a26a50bc5dc51e92898,Initial House Cleaning,"The initial cleaning is a one-time, thorough cleaning to bring your home up to our high standards of cleanliness and sanitation. This comprehensive service lays the foundation for ongoing weekly, biweekly, or monthly maintenance, ensuring every surface shines and no detail is overlooked. The price for the initial cleaning is the same regardless of the frequency of your recurring service.",$560.01,$364.00,false,"","",false
Home Cleaning,ind_dd88b46f5da742d7b8e679dc57dd329f,"6,701-7,000 Sq Ft","","",olit_22e7d72ac5b044879df97af79cb440e7,Weekly House Cleaning,"Enjoy a consistently clean home without lifting a finger. Our trained team provides efficient, thorough cleaning every week so you can take back your time.",$320.51,$176.28,false,"","",false
Home Cleaning,ind_dd88b46f5da742d7b8e679dc57dd329f,"6,701-7,000 Sq Ft","","",olit_7c4bcf349a9c4a05b9b31e12ca9133b8,Biweekly House Cleaning,"Keep your home fresh and tidy with biweekly visits from our expert team. We ensure thorough cleaning while maintaining your space with care.
",$427.57,$235.16,false,"","",false
